nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,propertytype
Dadan G.,10,20-Mar-22,"The hotel is clean (new building), has complete aminities with large towels + small towels, can get mineral water and is also available for refilling mineral water in the hallway. There is a kitchenette (common) and a microwave. The location is strategic, behind the hotel is already Jl. Riau and in front of the satay building. Keep it up.",Rumah Cimandiri,GUEST HOUSES
Rizal P.,9.4,28-Mar-22,"First time stays at this really central located hotel, we booked the Deluxe City View and asked for the high floor to have a better view, it was really a stunning view from the balcony and window. They gave us the room no 1032, its headed to East (just in front of the Gasibu park) and the side window is headed to North (Dago and Mt Tangkuban Perahu view). The room size is just perfect with large modern IPTV and other facilities but the bathroom size is really small (1x1,5) for a 5* hotel, even the 4* hotel have much bigger bathroom. The other issues is the sound proof is really bad, the noise from the busy street and Gasibu park below is clearly heard in the room and its really dissapointing for a 5* hotel. The parking lots is huge, I guess its the biggest basement parking lot for a hotel in Bandung, maybe its because of next to the hotel is a convention center and they shared the same parking lot, and maybe if there's an event at the convention center then parking will be an issue. Anyway, overall its a pleasent stay at the hotel, and really recommended hotel for leissure or business.",Pullman Bandung Grand Central,HOTELS
Fachri R.,9.7,27-Mar-22,The room is clean and the staff were amazing.,Pullman Bandung Grand Central,HOTELS
Annisa R.,10,11-Mar-22,"Had a very pleasant stay at Pullman Bandung. Got such great complimentary (Room Upgrade, mini bar, and cakes + snacks) because this was our honeymoon stay. Good job Pullman Bandung team especially. Mba Marina, Feby, Dita from Guest Relations Team and the awesome housekeeping team! Will definitely stay here again __",Pullman Bandung Grand Central,HOTELS
Desti S.,9.7,08-Mar-22,,Pullman Bandung Grand Central,HOTELS
Desti S.,9.7,01-Mar-22,,Pullman Bandung Grand Central,HOTELS
yuli a.,9.7,28-Feb-22,,Pullman Bandung Grand Central,HOTELS
Ristya A.,10,23-Feb-22,Glad to stay in here. Perfect,Pullman Bandung Grand Central,HOTELS
Yuanita P.,10,08-Feb-22,Comfy. Spacious. Over all amazing ______,Pullman Bandung Grand Central,HOTELS
Fajrina E. P.,9.1,07-Feb-22,"Great service, near to the shopping and cullinary area. Tasty breakfast. Room was clean and tidy, shout out to their housekeeping team! And their guest relations team can provide cute little decoration also. Keep it up, Pullman __",Pullman Bandung Grand Central,HOTELS
Irene D. P.,9.7,06-Feb-22,Great location and great room!,Pullman Bandung Grand Central,HOTELS
Gregorius A. O. B.,9.7,18-Mar-22,Great view. Great room. Will be back soon.,ibis Styles Bandung Grand Central,HOTELS
Luthfiah L.,9.7,07-Mar-22,Will definitely come back here again.,ibis Styles Bandung Grand Central,HOTELS
Mohammad A. F.,9.7,04-Mar-22,"Luxury 3 Star Hotel I think, the location very strategic",ibis Styles Bandung Grand Central,HOTELS
Zabrina V. L.,10,03-Mar-22,"Great location, nice & helpful staffs, great room & food!",ibis Styles Bandung Grand Central,HOTELS
Riandini E. M.,6,03-Mar-22,,ibis Styles Bandung Grand Central,HOTELS
ika j. p.,9.4,01-Mar-22,Good services and good facility 's.,ibis Styles Bandung Grand Central,HOTELS
Iwan,6,28-Feb-22,"Should be better if the lobby placed at ground floor, the breakfast just basic, access to lobby is so confusing up down here there. Design okay, clean and staff friendly.",ibis Styles Bandung Grand Central,HOTELS
Ricky W.,6.7,28-Feb-22,"Nice and new hotel. Request for non smoking room, They give me smoking room, and we complain about the room smell of cigarettes, they said the room was non smoking room. And they prepare some purifier to refresh the room. When we walk to lift, the smoking floor label seen. What a poor staff, they lied about that.",ibis Styles Bandung Grand Central,HOTELS
Taruna,9.7,23-Feb-22,,ibis Styles Bandung Grand Central,HOTELS
Fanni,9.7,16-Feb-22,,ibis Styles Bandung Grand Central,HOTELS
Lucky R.,8.5,22-Mar-22,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Nindi L.,8.5,02-Mar-22,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
aisyah h.,9.4,10-Jan-22,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Novita,9.7,14-Dec-21,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Darwin D.,6.5,10-Dec-21,"I ordered breakfast but they didn't give it, saying there's no order for breakfast.",Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Jonar S.,8.5,01-Nov-21,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Dewi S.,9.7,14-Oct-21,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
Indra I.,9.4,11-Oct-21,,Hotel Bumi Asih Gedung Sate Bandung,HOTELS
